,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CM_SHBAE_MFG_SEG (for python, priority)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보고서로 돌아가기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Facts 의 1078 Products 에서 Total Korea+Jeju Offline 동안 Mar 22 - 5 w/e 03/04/22 까지 Mar 25 - 5 w/e 30/03/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG)
Markets,TOTAL COFFEE MIX,VARIANT,MANUFACTURER,SEGMENTB,BRAND,SUBBRAND,SUBSEGMENT,ITEM,Mar 22 - 5 w/e 03/04/22,Apr 22 - 4 w/e 01/05/22,May 22 - 4 w/e 29/05/22,Jun 22 - 5 w/e 03/07/22,Jul 22 - 4 w/e 31/07/22,Aug 22 - 4 w/e 28/08/22,Sep 22 - 5 w/e 02/10/22,Oct 22 - 4 w/e 30/10/22,Nov 22 - 4 w/e 27/11/22,Dec 22 - 5 w/e 01/01/23,Jan 23 - 4 w/e 29/01/23,Feb 23 - 4 w/e 26/02/23,Mar 23 - 5 w/e 02/04/23,Apr 23 - 4 w/e 30/04/23,May 23 - 4 w/e 28/05/23,Jun 23 - 5 w/e 02/07/23,Jul 23 - 4 w/e 30/07/23,Aug 23 - 4 w/e 27/08/23,Sep 23 - 5 w/e 01/10/23,Oct 23 - 4 w/e 29/10/23,Nov 23 - 4 w/e 26/11/23,Dec 23 - 5 w/e 31/12/23,Jan 24 - 4 w/e 28/01/24,Feb 24 - 4 w/e 25/02/24,Mar 24 - 5 w/e 31/03/24,Apr 24 - 4 w/e 28/04/24,May 24 - 4 w/e 26/05/24,Jun 24 - 5 w/e 30/06/24,Jul 24 - 4 w/e 28/07/24,Aug 24 - 4 w/e 25/08/24,Sep 24 - 5 w/e 29/09/24,Oct 24 - 4 w/e 27/10/24,Nov 24 - 4 w/e 24/11/24,Dec 24 - 5 w/e 29/12/24,Jan 25 - 4 w/e 26/01/25,Feb 25 - 4 w/e 23/02/25,Mar 25 - 5 w/e 30/03/25,Mar 22 - 5 w/e 03/04/22,Apr 22 - 4 w/e 01/05/22,May 22 - 4 w/e 29/05/22,Jun 22 - 5 w/e 03/07/22,Jul 22 - 4 w/e 31/07/22,Aug 22 - 4 w/e 28/08/22,Sep 22 - 5 w/e 02/10/22,Oct 22 - 4 w/e 30/10/22,Nov 22 - 4 w/e 27/11/22,Dec 22 - 5 w/e 01/01/23,Jan 23 - 4 w/e 29/01/23,Feb 23 - 4 w/e 26/02/23,Mar 23 - 5 w/e 02/04/23,Apr 23 - 4 w/e 30/04/23,May 23 - 4 w/e 28/05/23,Jun 23 - 5 w/e 02/07/23,Jul 23 - 4 w/e 30/07/23,Aug 23 - 4 w/e 27/08/23,Sep 23 - 5 w/e 01/10/23,Oct 23 - 4 w/e 29/10/23,Nov 23 - 4 w/e 26/11/23,Dec 23 - 5 w/e 31/12/23,Jan 24 - 4 w/e 28/01/24,Feb 24 - 4 w/e 25/02/24,Mar 24 - 5 w/e 31/03/24,Apr 24 - 4 w/e 28/04/24,May 24 - 4 w/e 26/05/24,Jun 24 - 5 w/e 30/06/24,Jul 24 - 4 w/e 28/07/24,Aug 24 - 4 w/e 25/08/24,Sep 24 - 5 w/e 29/09/24,Oct 24 - 4 w/e 27/10/24,Nov 24 - 4 w/e 24/11/24,Dec 24 - 5 w/e 29/12/24,Jan 25 - 4 w/e 26/01/25,Feb 25 - 4 w/e 23/02/25,Mar 25 - 5 w/e 30/03/25
Total Korea+Jeju Offline,TOTAL COFFEE MIX,,,,,,,,"₩79,003,878,553","₩62,758,192,676","₩62,754,964,034","₩72,619,758,051","₩52,379,679,794","₩62,732,981,488","₩75,995,114,565","₩62,197,725,940","₩66,747,720,661","₩91,444,834,763","₩79,421,042,750","₩66,771,543,368","₩84,399,400,323","₩65,255,097,083","₩64,270,630,414","₩75,273,717,403","₩54,765,558,583","₩58,013,991,085","₩85,037,553,283","₩63,152,085,602","₩67,615,495,748","₩88,328,548,998","₩77,885,812,374","₩71,274,316,373","₩83,537,628,341","₩60,480,107,499","₩60,417,640,524","₩70,740,390,563","₩56,726,086,885","₩58,503,127,444","₩71,807,733,249","₩56,617,782,390","₩66,059,728,754","₩88,363,411,760","₩82,911,353,406","₩64,599,080,403","₩82,127,201,994","6,912,099","5,470,729","5,468,546","6,344,613","4,513,731","5,804,739","6,666,479","5,354,808","5,744,283","7,764,891","6,690,087","5,200,185","6,581,455","5,059,892","5,011,379","5,863,065","4,248,582","4,598,121","6,958,667","4,873,363","5,258,736","6,820,014","6,325,442","5,577,638","6,468,009","4,633,391","4,645,962","5,451,337","4,396,243","4,780,162","5,659,097","4,304,703","5,091,579","6,385,585","6,235,232","4,438,913","5,754,235"
Total Korea+Jeju Offline,TOTAL COFFEE MIX,GENERAL,,,,,,,"₩74,564,303,255","₩59,689,158,827","₩59,933,647,142","₩69,461,799,976","₩49,941,465,281","₩60,194,611,919","₩72,226,246,159","₩59,251,393,477","₩63,408,474,765","₩87,160,813,109","₩76,000,047,195","₩63,741,817,357","₩80,629,443,195","₩62,520,889,946","₩61,878,244,904","₩72,493,809,153","₩52,728,135,698","₩56,020,484,354","₩82,025,596,963","₩60,701,529,027","₩64,820,643,365","₩84,498,424,102","₩75,069,720,805","₩68,362,533,256","₩80,225,788,228","₩58,202,371,384","₩58,357,885,174","₩68,295,276,165","₩54,954,406,199","₩56,741,699,926","₩69,325,330,012","₩54,627,180,016","₩63,612,995,871","₩85,239,541,799","₩80,299,875,631","₩62,327,862,863","₩79,302,361,265","6,764,444","5,371,514","5,378,934","6,243,290","4,434,598","5,719,613","6,540,835","5,260,529","5,629,946","7,623,856","6,582,820","5,111,504","6,468,873","4,980,554","4,942,541","5,783,131","4,189,977","4,539,677","6,868,539","4,801,380","5,172,208","6,704,357","6,241,952","5,490,960","6,370,387","4,568,298","4,588,077","5,382,860","4,346,561","4,729,829","5,587,645","4,248,080","5,016,831","6,297,945","6,162,686","4,379,023","5,677,978"
Total Korea+Jeju Offline,TOTAL COFFEE MIX,GENERAL,2MAGINE M&S,,,,,,,,"₩165,052","₩462,567",,,"₩187,450","₩418,467","₩229,479",,"₩38,632","₩112,219","₩130,682","₩130,682",,,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,5,12,7,,1,3,4,4,,,,,,,,,,,,,,,,,,,,,,,
Total Korea+Jeju Offline,TOTAL COFFEE MIX,GENERAL,2MAGINE M&S,SD,,,,,,,"₩165,052","₩462,567",,,"₩187,450","₩418,467","₩229,479",,"₩38,632","₩112,219","₩130,682","₩130,682",,,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,5,12,7,,1,3,4,4,,,,,,,,,,,,,,,,,,,,,,,
Total Korea+Jeju Offline,TOTAL COFFEE MIX,GENERAL,2MAGINE M&S,SD,BODY LIKE,,,,,,"₩165,052","₩462,567",,,"₩187,450","₩418,467","₩229,479",,"₩38,632","₩112,219","₩130,682","₩130,682",,,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,5,12,7,,1,3,4,4,,,,,,,,,,,,,,,,,,,,,,,
Total Korea+Jeju Offline,TOTAL COFFEE MIX,GENERAL,2MAGINE M&S,SD,BODY LIKE,NOSUB,,,,,"₩165,052","₩462,567",,,"₩187,450","₩418,467","₩229,479",,"₩38,632","₩112,219","₩130,682","₩130,682",,,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,5,12,7,,1,3,4,4,,,,,,,,,,,,,,,,,,,,,,,
Total Korea+Jeju Offline,TOTAL COFFEE MIX,GENERAL,2MAGINE M&S,SD,BODY LIKE,NOSUB,X30,,,,"₩165,052","₩462,567",,,"₩187,450","₩418,467","₩229,479",,"₩38,632","₩112,219","₩130,682","₩130,682",,,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,5,12,7,,1,3,4,4,,,,,,,,,,,,,,,,,,,,,,,
Total Korea+Jeju Offline,TOTAL COFFEE MIX,GENERAL,2MAGINE M&S,SD,BODY LIKE,NOSUB,X30,2MAGINE M&S BODY LIKE PRIME STEVIA COFFEE MIX STK 9.5GX30S ,,,"₩165,052","₩462,567",,,"₩187,450","₩418,467","₩229,479",,"₩38,632","₩112,219","₩130,682","₩130,682",,,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,5,12,7,,1,3,4,4,,,,,,,,,,,,,,,,,,,,,,,
Total Korea+Jeju Offline,TOTAL COFFEE MIX,GENERAL,3ST,,,,,,,,,,,,,,,,,,,,,,,,,,,"₩127,702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
