,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
표-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보고서로 돌아가기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Facts 의 490 Products 에서 Total Korea+Jeju Offline 동안 Mar 22 - 5 w/e 03/04/22 까지 Mar 25 - 5 w/e 30/03/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG)
Markets,VARIANT,SEGMENTC,MANUFACTURER,BRAND,SUBBRAND,ITEM,Mar 22 - 5 w/e 03/04/22,Apr 22 - 4 w/e 01/05/22,May 22 - 4 w/e 29/05/22,Jun 22 - 5 w/e 03/07/22,Jul 22 - 4 w/e 31/07/22,Aug 22 - 4 w/e 28/08/22,Sep 22 - 5 w/e 02/10/22,Oct 22 - 4 w/e 30/10/22,Nov 22 - 4 w/e 27/11/22,Dec 22 - 5 w/e 01/01/23,Jan 23 - 4 w/e 29/01/23,Feb 23 - 4 w/e 26/02/23,Mar 23 - 5 w/e 02/04/23,Apr 23 - 4 w/e 30/04/23,May 23 - 4 w/e 28/05/23,Jun 23 - 5 w/e 02/07/23,Jul 23 - 4 w/e 30/07/23,Aug 23 - 4 w/e 27/08/23,Sep 23 - 5 w/e 01/10/23,Oct 23 - 4 w/e 29/10/23,Nov 23 - 4 w/e 26/11/23,Dec 23 - 5 w/e 31/12/23,Jan 24 - 4 w/e 28/01/24,Feb 24 - 4 w/e 25/02/24,Mar 24 - 5 w/e 31/03/24,Apr 24 - 4 w/e 28/04/24,May 24 - 4 w/e 26/05/24,Jun 24 - 5 w/e 30/06/24,Jul 24 - 4 w/e 28/07/24,Aug 24 - 4 w/e 25/08/24,Sep 24 - 5 w/e 29/09/24,Oct 24 - 4 w/e 27/10/24,Nov 24 - 4 w/e 24/11/24,Dec 24 - 5 w/e 29/12/24,Jan 25 - 4 w/e 26/01/25,Feb 25 - 4 w/e 23/02/25,Mar 25 - 5 w/e 30/03/25,Mar 22 - 5 w/e 03/04/22,Apr 22 - 4 w/e 01/05/22,May 22 - 4 w/e 29/05/22,Jun 22 - 5 w/e 03/07/22,Jul 22 - 4 w/e 31/07/22,Aug 22 - 4 w/e 28/08/22,Sep 22 - 5 w/e 02/10/22,Oct 22 - 4 w/e 30/10/22,Nov 22 - 4 w/e 27/11/22,Dec 22 - 5 w/e 01/01/23,Jan 23 - 4 w/e 29/01/23,Feb 23 - 4 w/e 26/02/23,Mar 23 - 5 w/e 02/04/23,Apr 23 - 4 w/e 30/04/23,May 23 - 4 w/e 28/05/23,Jun 23 - 5 w/e 02/07/23,Jul 23 - 4 w/e 30/07/23,Aug 23 - 4 w/e 27/08/23,Sep 23 - 5 w/e 01/10/23,Oct 23 - 4 w/e 29/10/23,Nov 23 - 4 w/e 26/11/23,Dec 23 - 5 w/e 31/12/23,Jan 24 - 4 w/e 28/01/24,Feb 24 - 4 w/e 25/02/24,Mar 24 - 5 w/e 31/03/24,Apr 24 - 4 w/e 28/04/24,May 24 - 4 w/e 26/05/24,Jun 24 - 5 w/e 30/06/24,Jul 24 - 4 w/e 28/07/24,Aug 24 - 4 w/e 25/08/24,Sep 24 - 5 w/e 29/09/24,Oct 24 - 4 w/e 27/10/24,Nov 24 - 4 w/e 24/11/24,Dec 24 - 5 w/e 29/12/24,Jan 25 - 4 w/e 26/01/25,Feb 25 - 4 w/e 23/02/25,Mar 25 - 5 w/e 30/03/25
Total Korea+Jeju Offline,IR,,,,,,"₩15,057,483,185","₩11,670,411,598","₩11,846,202,250","₩14,272,511,387","₩11,422,712,617","₩11,954,159,442","₩15,497,380,375","₩11,695,342,531","₩11,738,395,533","₩16,483,710,341","₩12,738,544,221","₩12,266,409,126","₩15,404,286,797","₩12,016,534,958","₩11,337,323,781","₩14,234,766,064","₩11,177,839,613","₩12,030,563,467","₩15,077,004,436","₩11,436,116,713","₩11,540,327,077","₩15,261,593,521","₩12,082,243,839","₩12,342,204,636","₩14,547,602,891","₩10,766,792,470","₩10,604,452,877","₩13,290,519,373","₩10,740,310,838","₩10,993,508,827","₩14,734,498,197","₩10,379,521,426","₩11,204,656,649","₩14,739,017,527","₩12,950,219,407","₩11,602,406,860","₩14,559,755,268","67,689","52,712","54,062","63,579","50,869","54,722","69,046","52,381","52,692","73,150","52,118","49,590","62,706","49,633","46,648","58,702","46,111","50,717","62,456","46,616","46,998","62,682","49,831","50,647","60,041","44,043","43,446","54,095","44,605","46,016","61,836","42,317","45,982","57,542","49,706","44,175","56,139"
Total Korea+Jeju Offline,IR,FD,,,,,"₩14,077,808,862","₩10,909,251,173","₩11,006,000,829","₩13,294,865,311","₩10,589,860,044","₩11,187,502,714","₩14,071,510,451","₩10,714,503,923","₩10,752,286,197","₩14,997,714,564","₩11,573,329,202","₩11,203,395,895","₩14,041,855,591","₩10,924,224,059","₩10,329,276,825","₩13,009,279,245","₩10,232,578,517","₩11,041,869,018","₩13,667,257,207","₩10,516,121,528","₩10,587,248,686","₩14,069,693,145","₩10,954,681,946","₩11,141,910,394","₩13,134,420,929","₩9,681,527,727","₩9,543,087,407","₩11,978,521,638","₩9,576,312,949","₩9,690,397,774","₩12,898,396,683","₩9,363,802,553","₩10,072,004,752","₩13,092,692,492","₩11,145,625,139","₩10,162,144,769","₩12,774,382,182","62,344","48,487","49,296","58,485","46,687","50,814","62,060","47,723","47,945","65,704","46,917","44,761","56,174","44,529","41,999","53,453","41,818","46,107","56,258","42,427","42,611","57,374","44,920","45,189","53,232","38,921","38,474","48,050","39,146","39,784","53,327","37,426","40,555","49,907","42,273","37,414","46,943"
Total Korea+Jeju Offline,IR,FD,ACEMNT,,,,,"₩51,850","₩39,940","₩91,308","₩61,880","₩46,920","₩115,159","₩107,260","₩107,540","₩193,590","₩73,401","₩53,642","₩73,860","₩149,750","₩83,860",,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Total Korea+Jeju Offline,IR,FD,ACEMNT,MR.VIET,,,,"₩51,850","₩39,940","₩91,308","₩61,880","₩46,920","₩115,159","₩107,260","₩107,540","₩193,590","₩73,401","₩53,642","₩73,860","₩149,750","₩83,860",,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Total Korea+Jeju Offline,IR,FD,ACEMNT,MR.VIET,NO SUB,,,"₩51,850","₩39,940","₩91,308","₩61,880","₩46,920","₩115,159","₩107,260","₩107,540","₩193,590","₩73,401","₩53,642","₩73,860","₩149,750","₩83,860",,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Total Korea+Jeju Offline,IR,FD,ACEMNT,MR.VIET,NO SUB,ACEMNT MR.VIET PREMISUM BLACK INSTANT COFFEE STK 2GX20S ,,"₩51,850","₩39,940","₩91,308","₩61,880","₩46,920","₩115,159","₩107,260","₩107,540","₩193,590","₩73,401","₩53,642","₩73,860","₩149,750","₩83,860",,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Total Korea+Jeju Offline,IR,FD,BR KOREA,,,,,,,,,,"₩3,975,464","₩741,045","₩27,826","₩4,097",,,,,,,"₩18,480",,"₩184,800","₩30,800",,"₩77,000","₩107,800","₩33,880","₩532,300","₩30,800",,,,,,,,,,,,,,,,,,31,13,1,0,,,,,,,0,,2,0,,0,1,0,6,0,,,,,,,,,,,
Total Korea+Jeju Offline,IR,FD,BR KOREA,DUNKIN DONUTS,,,,,,,,,"₩3,975,464","₩741,045","₩27,826","₩4,097",,,,,,,"₩18,480",,"₩184,800","₩30,800",,"₩77,000","₩107,800","₩33,880","₩532,300","₩30,800",,,,,,,,,,,,,,,,,,31,13,1,0,,,,,,,0,,2,0,,0,1,0,6,0,,,,,,,,,,,
Total Korea+Jeju Offline,IR,FD,BR KOREA,DUNKIN DONUTS,NO SUB,,,,,,,,"₩3,975,464","₩741,045","₩27,826","₩4,097",,,,,,,"₩18,480",,"₩184,800","₩30,800",,"₩77,000","₩107,800","₩33,880","₩532,300","₩30,800",,,,,,,,,,,,,,,,,,31,13,1,0,,,,,,,0,,2,0,,0,1,0,6,0,,,,,,,,,,,
