,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
표-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보고서로 돌아가기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Facts 의 637 Products 에서 Total Korea+Jeju Offline 동안 Mar 22 - 5 w/e 03/04/22 까지 Mar 25 - 5 w/e 30/03/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales Value,Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG),Sales (KG)
Markets,TOTAL CAPSULE PRODUCTS,MANUFACTURER,BRAND,SEGMENTA,ITEM,Mar 22 - 5 w/e 03/04/22,Apr 22 - 4 w/e 01/05/22,May 22 - 4 w/e 29/05/22,Jun 22 - 5 w/e 03/07/22,Jul 22 - 4 w/e 31/07/22,Aug 22 - 4 w/e 28/08/22,Sep 22 - 5 w/e 02/10/22,Oct 22 - 4 w/e 30/10/22,Nov 22 - 4 w/e 27/11/22,Dec 22 - 5 w/e 01/01/23,Jan 23 - 4 w/e 29/01/23,Feb 23 - 4 w/e 26/02/23,Mar 23 - 5 w/e 02/04/23,Apr 23 - 4 w/e 30/04/23,May 23 - 4 w/e 28/05/23,Jun 23 - 5 w/e 02/07/23,Jul 23 - 4 w/e 30/07/23,Aug 23 - 4 w/e 27/08/23,Sep 23 - 5 w/e 01/10/23,Oct 23 - 4 w/e 29/10/23,Nov 23 - 4 w/e 26/11/23,Dec 23 - 5 w/e 31/12/23,Jan 24 - 4 w/e 28/01/24,Feb 24 - 4 w/e 25/02/24,Mar 24 - 5 w/e 31/03/24,Apr 24 - 4 w/e 28/04/24,May 24 - 4 w/e 26/05/24,Jun 24 - 5 w/e 30/06/24,Jul 24 - 4 w/e 28/07/24,Aug 24 - 4 w/e 25/08/24,Sep 24 - 5 w/e 29/09/24,Oct 24 - 4 w/e 27/10/24,Nov 24 - 4 w/e 24/11/24,Dec 24 - 5 w/e 29/12/24,Jan 25 - 4 w/e 26/01/25,Feb 25 - 4 w/e 23/02/25,Mar 25 - 5 w/e 30/03/25,Mar 22 - 5 w/e 03/04/22,Apr 22 - 4 w/e 01/05/22,May 22 - 4 w/e 29/05/22,Jun 22 - 5 w/e 03/07/22,Jul 22 - 4 w/e 31/07/22,Aug 22 - 4 w/e 28/08/22,Sep 22 - 5 w/e 02/10/22,Oct 22 - 4 w/e 30/10/22,Nov 22 - 4 w/e 27/11/22,Dec 22 - 5 w/e 01/01/23,Jan 23 - 4 w/e 29/01/23,Feb 23 - 4 w/e 26/02/23,Mar 23 - 5 w/e 02/04/23,Apr 23 - 4 w/e 30/04/23,May 23 - 4 w/e 28/05/23,Jun 23 - 5 w/e 02/07/23,Jul 23 - 4 w/e 30/07/23,Aug 23 - 4 w/e 27/08/23,Sep 23 - 5 w/e 01/10/23,Oct 23 - 4 w/e 29/10/23,Nov 23 - 4 w/e 26/11/23,Dec 23 - 5 w/e 31/12/23,Jan 24 - 4 w/e 28/01/24,Feb 24 - 4 w/e 25/02/24,Mar 24 - 5 w/e 31/03/24,Apr 24 - 4 w/e 28/04/24,May 24 - 4 w/e 26/05/24,Jun 24 - 5 w/e 30/06/24,Jul 24 - 4 w/e 28/07/24,Aug 24 - 4 w/e 25/08/24,Sep 24 - 5 w/e 29/09/24,Oct 24 - 4 w/e 27/10/24,Nov 24 - 4 w/e 24/11/24,Dec 24 - 5 w/e 29/12/24,Jan 25 - 4 w/e 26/01/25,Feb 25 - 4 w/e 23/02/25,Mar 25 - 5 w/e 30/03/25
Total Korea+Jeju Offline,TOTAL CAPSULE PRODUCTS,,,,,"₩3,171,279,907","₩2,375,967,331","₩2,322,415,188","₩3,037,629,253","₩2,151,700,277","₩2,131,750,669","₩3,144,664,069","₩2,323,148,495","₩2,812,243,196","₩3,270,816,551","₩2,318,652,868","₩2,577,239,275","₩4,023,910,016","₩2,565,294,503","₩2,574,657,080","₩3,225,604,552","₩2,545,046,673","₩2,510,502,637","₩3,126,738,351","₩2,543,498,036","₩2,977,453,230","₩3,448,518,036","₩2,503,947,752","₩2,840,640,060","₩3,630,952,521","₩2,740,760,089","₩2,509,627,182","₩3,153,156,437","₩2,458,328,000","₩2,280,922,132","₩3,054,180,642","₩2,202,286,351","₩2,864,550,182","₩3,220,468,782","₩2,678,592,813","₩2,472,989,277","₩3,693,826,054","31,904","23,728","23,504","30,146","21,458","20,929","31,596","23,403","31,791","35,587","22,643","25,160","42,947","26,209","27,305","33,927","26,480","25,676","31,858","26,817","33,929","37,201","26,589","30,379","39,058","30,929","27,134","34,144","27,447","24,425","33,686","23,925","33,334","34,935","29,467","25,915","42,568"
Total Korea+Jeju Offline,TOTAL CAPSULE PRODUCTS,B&J,,,,,"₩795,361",,"₩795,361","₩77,636","₩998,992","₩795,361",,,,,"₩388,579",,,"₩1,092,338","₩791,019","₩1,275,414","₩1,177,101","₩1,175,623","₩871,904","₩37,255",,"₩423,905",,,,,,,,,,,,,"₩254,685",,,14,,14,1,17,14,,,,,7,,,17,9,15,13,14,10,0,,6,,,,,,,,,,,,,3,
Total Korea+Jeju Offline,TOTAL CAPSULE PRODUCTS,B&J,CABINEAT,,,,"₩795,361",,"₩795,361","₩77,636","₩998,992","₩795,361",,,,,"₩388,579",,,"₩1,092,338","₩791,019","₩1,275,414","₩1,177,101","₩1,175,623","₩871,904","₩37,255",,"₩423,905",,,,,,,,,,,,,"₩254,685",,,14,,14,1,17,14,,,,,7,,,17,9,15,13,14,10,0,,6,,,,,,,,,,,,,3,
Total Korea+Jeju Offline,TOTAL CAPSULE PRODUCTS,B&J,CABINEAT,NESCAFE DOLCE GUSTO,,,"₩795,361",,"₩795,361","₩77,636","₩998,992","₩795,361",,,,,"₩388,579",,,"₩1,092,338","₩791,019","₩1,275,414","₩1,177,101","₩1,175,623","₩871,904","₩37,255",,"₩423,905",,,,,,,,,,,,,"₩254,685",,,14,,14,1,17,14,,,,,7,,,17,9,15,13,14,10,0,,6,,,,,,,,,,,,,3,
Total Korea+Jeju Offline,TOTAL CAPSULE PRODUCTS,B&J,CABINEAT,NESCAFE DOLCE GUSTO,B&J CABIN IT AMERICANO 170G(8.5GX20S) ,,"₩795,361",,"₩795,361","₩77,636","₩998,992","₩795,361",,,,,"₩388,579",,,"₩1,092,338","₩791,019","₩1,275,414","₩1,177,101","₩1,175,623","₩871,904","₩37,255",,"₩423,905",,,,,,,,,,,,,"₩254,685",,,14,,14,1,17,14,,,,,7,,,17,9,15,13,14,10,0,,6,,,,,,,,,,,,,3,
Total Korea+Jeju Offline,TOTAL CAPSULE PRODUCTS,BR KOREA,,,,,,,,,,,,,,,,,,,,,"₩48,000","₩270,500","₩104,500","₩185,000","₩2,593,460","₩4,100,614","₩2,620,220","₩2,653,930","₩2,929,630","₩5,060,652","₩4,551,832","₩5,852,399","₩4,995,175","₩2,075,703","₩2,363,339","₩2,932,315","₩4,493,213","₩1,801,188","₩2,036,097","₩1,982,721",,,,,,,,,,,,,,,,,,0,2,1,2,27,56,40,31,42,71,59,94,88,22,29,44,82,28,29,40
Total Korea+Jeju Offline,TOTAL CAPSULE PRODUCTS,BR KOREA,DUNKIN DONUTS,,,,,,,,,,,,,,,,,,,,"₩48,000","₩270,500","₩104,500","₩185,000","₩2,593,460","₩4,100,614","₩2,620,220","₩2,653,930","₩2,929,630","₩5,060,652","₩4,551,832","₩5,852,399","₩4,995,175","₩2,075,703","₩2,363,339","₩2,932,315","₩4,493,213","₩1,801,188","₩2,036,097","₩1,982,721",,,,,,,,,,,,,,,,,,0,2,1,2,27,56,40,31,42,71,59,94,88,22,29,44,82,28,29,40
Total Korea+Jeju Offline,TOTAL CAPSULE PRODUCTS,BR KOREA,DUNKIN DONUTS,NESCAFE DOLCE GUSTO,,,,,,,,,,,,,,,,,,,,"₩17,000","₩8,500","₩8,500","₩397,635","₩257,850","₩154,600","₩197,430","₩154,830","₩371,975","₩121,665","₩384,157","₩746,115","₩113,600","₩48,500","₩101,990","₩314,750","₩128,170","₩76,500",,,,,,,,,,,,,,,,,,,,0,0,0,8,3,2,4,3,6,2,7,16,2,1,1,7,3,1,
Total Korea+Jeju Offline,TOTAL CAPSULE PRODUCTS,BR KOREA,DUNKIN DONUTS,NESCAFE DOLCE GUSTO,BRKOREA DUNKIN DONUTS ESPRESSO BLEND CAPSULE 96G (8GX12S) ,,,,,,,,,,,,,,,,,,,"₩17,000","₩8,500","₩8,500","₩397,635","₩257,850","₩154,600","₩197,430","₩154,830","₩371,975","₩121,665","₩384,157","₩746,115","₩113,600","₩48,500","₩101,990","₩314,750","₩128,170","₩76,500",,,,,,,,,,,,,,,,,,,,0,0,0,8,3,2,4,3,6,2,7,16,2,1,1,7,3,1,
